image_filename,description,label,prob
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Final_4_minutes_of_the_Chess_World_Championship_Match_2023!/frames/second257_frame5144.jpg,chess players in a game of chess at a table with a black backdrop,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Final_4_minutes_of_the_Chess_World_Championship_Match_2023!/frames/second270_frame5419.jpg,arafed image of a man playing chess in front of a picture of a man,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Final_4_minutes_of_the_Chess_World_Championship_Match_2023!/frames/second279_frame5594.jpg,arafed image of a man standing in front of a chess table,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Final_4_minutes_of_the_Chess_World_Championship_Match_2023!/frames/second260_frame5219.jpg,arafed image of a man playing chess with a chinese flag,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Final_4_minutes_of_the_Chess_World_Championship_Match_2023!/frames/second264_frame5289.jpg,arafed image of a man playing chess with a chinese flag,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Final_4_minutes_of_the_Chess_World_Championship_Match_2023!/frames/second266_frame5324.jpg,arafed image of a man playing chess with a man in a suit,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Final_4_minutes_of_the_Chess_World_Championship_Match_2023!/frames/second266_frame5329.jpg,arafed image of a man playing chess with a chinese flag,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Final_4_minutes_of_the_Chess_World_Championship_Match_2023!/frames/second266_frame5334.jpg,a close up of a person playing a game of chess,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Final_4_minutes_of_the_Chess_World_Championship_Match_2023!/frames/second266_frame5339.jpg,arafed image of a man playing chess with a man in a suit,0,1.0
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Final_4_minutes_of_the_Chess_World_Championship_Match_2023!/frames/second267_frame5344.jpg,arafed image of a man playing chess with a man in a suit,0,1.0
